clinic_id,closing_am_pm_boundary,closing_weekday_end,closing_sunday_end,closed_weekdays,cpm_version,dormant_prevention_180_days,dormant_prevention_210_days,dormant_prevention_240_days,dormant_prevention_365_days,cpm_v2_coming_threshold,cpm_v2_good_threshold,cpm_v2_family_threshold,cpm_v2_noah_threshold,cpm_v1_dormant_days,cpm_v1_noah_days,cpm_v1_noah_annual_visits,cpm_v1_noah_ltv,cpm_v1_core_days,cpm_v1_core_annual_visits,cpm_v1_core_ltv,cpm_v1_spot_min_amount,cpm_v1_spot_inactive_days,cpm_v1_growing_max_days,cpm_v1_growing_min_visits,cpm_v1_growing_max_visits,cpm_v1_ltv_break_low,health_prevention_lookback_days,vaccine_deadline_days,created_at,updated_at,closing_am_start
1,14:00:00,18:30:00,17:30:00,{0},v1,180,210,240,365,2,4,8,13,240,365,3,80000,180,2,50000,30000,90,90,2,3,20000,365,60,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,09:00:00
2,13:30:00,19:00:00,18:00:00,{4},v1,180,210,240,365,2,4,8,13,240,365,3,80000,180,2,50000,30000,90,90,2,3,20000,365,60,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,09:00:00
3,13:30:00,19:00:00,18:00:00,{4},v1,180,210,240,365,2,4,8,13,240,365,3,80000,180,2,50000,30000,90,90,2,3,20000,365,60,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,09:00:00
4,13:30:00,19:00:00,18:00:00,{4},v1,180,210,240,365,2,4,8,13,240,365,3,80000,180,2,50000,30000,90,90,2,3,20000,365,60,2026-07-06 14:59:40.511971+09,2026-07-06 14:59:40.511971+09,09:00:00
